SIZE/np	4	8	16	32	64	128	256	
65536	501	377	327	322	310	432	844	
131072	951	632	479	474	385	546	1144	
262144	1812	1120	773	667	639	698	1724	
524288	3564	2066	1333	1007	1022	854	2358	
1048576	7168	3952	2393	1674	1495	1575	2332	
2097152	14957	7707	4422	2903	2300	2690	3888	
4194304	32404	15917	8484	5174	3831	3948	8072	
8388608	68868	33830	17359	9661	6615	6234	12925	
16777216	138802	71670	36186	19496	11793	10188	16768	
33554432	280206	144578	75004	40331	23123	17467	23961	
67108864	None	292839	152090	82725	47934	32682	39101	
134217728	None	None	311174	160396	91059	59759	62240	
268435456	None	None	None	312183	172816	109246	104242	
536870912	None	None	None	None	342786	207538	186254	
1073741824	None	None	None	None	None	407246	350226	
