SIZE/np	4	8	16	32	64	128	256	
65536	15	8	7	3	4	2	2	
131072	31	17	12	13	6	1295	3	
262144	61	33	19	19	9	11	4	
524288	125	64	38	30	36	13	3587	
1048576	250	128	73	55	49	20	38	
2097152	507	259	140	90	76	108	40	
4194304	1072	521	277	162	129	132	60	
8388608	2153	1106	557	310	210	174	365	
16777216	4459	2209	1166	617	374	288	443	
33554432	8884	4484	2349	1660	716	542	580	
67108864	17982	9199	4760	2769	1478	969	952	
134217728	36458	18555	9727	5195	2952	1951	1850	
268435456	None	37613	19828	10548	6164	3839	3668	
536870912	None	None	40872	19750	10446	6025	5093	
1073741824	None	None	None	42631	21199	12146	9610	
2147483648	None	None	None	None	43353	24588	19438	
4294967296	None	None	None	None	None	49295	37266	
