SIZE/np	4	8	16	32	64	128	256	
1048576	23551	12673	7002	3961	2541	2636	10616	
2097152	42821	23695	12585	7062	4296	3574	11048	
4194304	80802	42782	23620	12728	7375	5281	12549	
8388608	152258	80984	42841	23754	13004	8535	14755	
16777216	291904	152791	81140	43075	24167	14170	18690	
33554432	None	292526	153200	81697	43465	25290	25729	
67108864	None	None	292789	155262	82080	45344	40082	
134217728	None	None	None	303707	155782	84430	63634	
268435456	None	None	None	None	305091	160777	112428	
536870912	None	None	None	None	None	316743	207741	
1073741824	None	None	None	None	None	None	393195	
