SIZE/np	4	8	16	32	64	128	256	
65536	93	53	26	19	24	42	139	
131072	180	99	47	30	32	47	136	
262144	367	193	112	53	51	51	249	
524288	745	379	216	100	80	67	151	
1048576	1551	764	414	254	122	104	171	
2097152	3258	1548	809	469	354	156	733	
4194304	6685	3218	1627	896	596	279	2010	
8388608	14481	6737	3327	1743	1063	1724	2887	
16777216	29375	13689	6898	3544	2052	1479	4173	
33554432	60129	29497	14093	7314	4143	2695	6142	
67108864	122108	59664	28731	14817	8398	5380	5140	
134217728	None	122024	61635	29844	16644	10569	9286	
268435456	None	None	125048	60340	33238	20462	17108	
536870912	None	None	None	130598	66271	40237	32135	
1073741824	None	None	None	None	134676	80739	63653	
2147483648	None	None	None	None	None	162448	130685	
